
Files already downloaded and verified
[14/50][0/79]	Loss_D: 1.2473	Loss_G: 1.0917	D(x): 0.4549	D(G(z)): 0.1446 / 0.3536
[14/50][50/79]	Loss_D: 0.9147	Loss_G: 1.8516	D(x): 0.7288	D(G(z)): 0.2889 / 0.1545
[15/50][0/79]	Loss_D: 0.9149	Loss_G: 1.7175	D(x): 0.6681	D(G(z)): 0.1706 / 0.1720
[15/50][50/79]	Loss_D: 0.8544	Loss_G: 1.7445	D(x): 0.6831	D(G(z)): 0.1215 / 0.1701
[16/50][0/79]	Loss_D: 0.8625	Loss_G: 1.2878	D(x): 0.7307	D(G(z)): 0.2453 / 0.2705
[16/50][50/79]	Loss_D: 0.8209	Loss_G: 1.8542	D(x): 0.7726	D(G(z)): 0.2312 / 0.1495
[17/50][0/79]	Loss_D: 1.0094	Loss_G: 2.5911	D(x): 0.8681	D(G(z)): 0.4372 / 0.0721
[17/50][50/79]	Loss_D: 0.8545	Loss_G: 1.8350	D(x): 0.7019	D(G(z)): 0.1886 / 0.1547
[18/50][0/79]	Loss_D: 0.8905	Loss_G: 1.8470	D(x): 0.7020	D(G(z)): 0.2035 / 0.1619
[18/50][50/79]	Loss_D: 1.3493	Loss_G: 0.9207	D(x): 0.4061	D(G(z)): 0.1078 / 0.4234
[19/50][0/79]	Loss_D: 0.9891	Loss_G: 1.0490	D(x): 0.5903	D(G(z)): 0.1574 / 0.3744
[19/50][50/79]	Loss_D: 0.9243	Loss_G: 2.1217	D(x): 0.7973	D(G(z)): 0.3552 / 0.1125
[20/50][0/79]	Loss_D: 0.9272	Loss_G: 2.0389	D(x): 0.8254	D(G(z)): 0.3613 / 0.1241
[20/50][50/79]	Loss_D: 0.9385	Loss_G: 1.5502	D(x): 0.7063	D(G(z)): 0.2830 / 0.2036
[21/50][0/79]	Loss_D: 1.0400	Loss_G: 1.1159	D(x): 0.5692	D(G(z)): 0.2052 / 0.3426
[21/50][50/79]	Loss_D: 1.0264	Loss_G: 1.2991	D(x): 0.6300	D(G(z)): 0.2838 / 0.2699
[22/50][0/79]	Loss_D: 1.0564	Loss_G: 1.5616	D(x): 0.7411	D(G(z)): 0.4021 / 0.2107
[22/50][50/79]	Loss_D: 1.0904	Loss_G: 1.5956	D(x): 0.6725	D(G(z)): 0.3952 / 0.1990
[23/50][0/79]	Loss_D: 1.0358	Loss_G: 1.2750	D(x): 0.5575	D(G(z)): 0.1651 / 0.2860
[23/50][50/79]	Loss_D: 0.9102	Loss_G: 1.4370	D(x): 0.6804	D(G(z)): 0.2412 / 0.2369
[24/50][0/79]	Loss_D: 1.0460	Loss_G: 1.3856	D(x): 0.7512	D(G(z)): 0.4093 / 0.2548
[24/50][50/79]	Loss_D: 0.9732	Loss_G: 1.3158	D(x): 0.6234	D(G(z)): 0.2427 / 0.2628
[25/50][0/79]	Loss_D: 2.5795	Loss_G: 3.2717	D(x): 0.9385	D(G(z)): 0.8833 / 0.0397
[25/50][50/79]	Loss_D: 0.9940	Loss_G: 1.9634	D(x): 0.7778	D(G(z)): 0.4127 / 0.1306
[26/50][0/79]	Loss_D: 1.0197	Loss_G: 1.6976	D(x): 0.7569	D(G(z)): 0.4005 / 0.1789
[26/50][50/79]	Loss_D: 0.9384	Loss_G: 1.2936	D(x): 0.6137	D(G(z)): 0.1695 / 0.2774
[27/50][0/79]	Loss_D: 1.1070	Loss_G: 1.2507	D(x): 0.6126	D(G(z)): 0.3271 / 0.2889
[27/50][50/79]	Loss_D: 0.9909	Loss_G: 1.3601	D(x): 0.6287	D(G(z)): 0.2594 / 0.2580
[28/50][0/79]	Loss_D: 0.9963	Loss_G: 1.2848	D(x): 0.6378	D(G(z)): 0.2854 / 0.2765
[28/50][50/79]	Loss_D: 1.0107	Loss_G: 1.1105	D(x): 0.5729	D(G(z)): 0.2160 / 0.3238
[29/50][0/79]	Loss_D: 1.2565	Loss_G: 2.6299	D(x): 0.8044	D(G(z)): 0.5181 / 0.0642
[29/50][50/79]	Loss_D: 1.1098	Loss_G: 0.9818	D(x): 0.5136	D(G(z)): 0.2051 / 0.3752
[30/50][0/79]	Loss_D: 1.0693	Loss_G: 2.2961	D(x): 0.7918	D(G(z)): 0.4469 / 0.0932
[30/50][50/79]	Loss_D: 0.9444	Loss_G: 1.4599	D(x): 0.6849	D(G(z)): 0.2966 / 0.2191
[31/50][0/79]	Loss_D: 1.4253	Loss_G: 2.6239	D(x): 0.8435	D(G(z)): 0.6387 / 0.0652
[31/50][50/79]	Loss_D: 1.0085	Loss_G: 1.8676	D(x): 0.7359	D(G(z)): 0.3895 / 0.1444
