,epoch,train loss,train accuracy,validate loss,validate accuracy
0,1,0.06485383777663763,98.10029094643163,0.002803524839135187,99.42708333333333
1,2,0.0070619915315715655,99.76039705630669,0.0012829808791616042,99.84375
2,3,0.0033582160062086007,99.91442752010953,0.0013855279469536554,99.79166666666667
3,4,0.0023555781581109316,99.92298476809857,0.0010256382626815889,99.89583333333333
4,5,0.0015036577637286433,99.94865651206572,0.0009617470711034792,99.89583333333333
5,6,0.001021279660103151,99.97432825603286,0.0007877333316733821,99.89583333333333
6,7,0.0008431268303848696,99.97432825603286,0.0009023552421666481,99.89583333333333
7,8,0.0005450489044176079,100.0,0.0009809787531887563,99.89583333333333
8,9,0.000418089864280992,100.0,0.001013889142986731,99.89583333333333
9,10,0.0002903829611284747,100.0,0.0009723746316073265,99.89583333333333
10,11,0.0002681152183021358,100.0,0.0009914247885901373,99.89583333333333
11,12,0.00023103504855718221,100.0,0.0009555690241094965,99.89583333333333
12,13,0.0002099521053473358,100.0,0.0009968261470285804,99.89583333333333
13,14,0.00017118571720172295,100.0,0.0009845287732864368,99.89583333333333
14,15,0.00016411312672231482,100.0,0.0010109857971735906,99.89583333333333
15,16,0.00014371010666836115,100.0,0.0010063212314426729,99.89583333333333
16,17,0.00013349783696746986,100.0,0.0010243885713123212,99.89583333333333
17,18,0.00013070343664347222,100.0,0.0010237567623895218,99.89583333333333
18,19,0.0001173438337512537,100.0,0.001024627681007959,99.89583333333333
19,20,0.00010787612712506676,100.0,0.0010314380340171,99.89583333333333
20,21,0.00010283818537206566,100.0,0.0010528523170836278,99.89583333333333
21,22,9.504478678845144e-05,100.0,0.0010525459866092858,99.89583333333333
22,23,9.041095965627954e-05,100.0,0.0010589659808059905,99.89583333333333
23,24,8.866563268881656e-05,100.0,0.0010663085285135161,99.89583333333333
24,25,8.426790686132045e-05,100.0,0.0010666967778927708,99.89583333333333
25,26,7.904677529076484e-05,100.0,0.00107038339455434,99.89583333333333
26,27,7.678861205022568e-05,100.0,0.001075530884034801,99.89583333333333
27,28,7.479368177478036e-05,100.0,0.0010857551559839028,99.89583333333333
28,29,7.188822511053972e-05,100.0,0.0010840644608472246,99.89583333333333
29,30,6.809690959854088e-05,100.0,0.0011016381521256956,99.89583333333333
