
Files already downloaded and verified
[7/30][50/391]	Loss_D: 1.1261	Loss_G: 1.1503	D(x): 0.4965	D(G(z)): 0.1482 / 0.3159
[7/30][100/391]	Loss_D: 0.9613	Loss_G: 1.2669	D(x): 0.6091	D(G(z)): 0.2042 / 0.2743
[7/30][150/391]	Loss_D: 1.3480	Loss_G: 2.2057	D(x): 0.7882	D(G(z)): 0.5883 / 0.1319
[7/30][200/391]	Loss_D: 0.8769	Loss_G: 1.5989	D(x): 0.6989	D(G(z)): 0.2364 / 0.1958
[7/30][250/391]	Loss_D: 1.1961	Loss_G: 2.7833	D(x): 0.8467	D(G(z)): 0.5455 / 0.0531
[7/30][300/391]	Loss_D: 0.9471	Loss_G: 1.8737	D(x): 0.7625	D(G(z)): 0.3581 / 0.1447
[7/30][350/391]	Loss_D: 1.2078	Loss_G: 0.9452	D(x): 0.4666	D(G(z)): 0.2219 / 0.3966
[8/30][0/391]	Loss_D: 0.9584	Loss_G: 1.4354	D(x): 0.6891	D(G(z)): 0.3096 / 0.2285
[8/30][50/391]	Loss_D: 1.0589	Loss_G: 1.1309	D(x): 0.6014	D(G(z)): 0.3021 / 0.3176
[8/30][100/391]	Loss_D: 1.0101	Loss_G: 1.6299	D(x): 0.7231	D(G(z)): 0.3916 / 0.1817
[8/30][150/391]	Loss_D: 1.0488	Loss_G: 1.7220	D(x): 0.7590	D(G(z)): 0.4335 / 0.1713
[8/30][200/391]	Loss_D: 1.1530	Loss_G: 0.9631	D(x): 0.5286	D(G(z)): 0.2866 / 0.3906
[8/30][250/391]	Loss_D: 1.0288	Loss_G: 1.5006	D(x): 0.6744	D(G(z)): 0.3680 / 0.2145
[8/30][300/391]	Loss_D: 0.9920	Loss_G: 1.2911	D(x): 0.5807	D(G(z)): 0.2109 / 0.2652
[8/30][350/391]	Loss_D: 1.1351	Loss_G: 1.6890	D(x): 0.7262	D(G(z)): 0.4780 / 0.1715
[9/30][0/391]	Loss_D: 1.0492	Loss_G: 1.4769	D(x): 0.6389	D(G(z)): 0.3506 / 0.2178
[9/30][50/391]	Loss_D: 1.0223	Loss_G: 1.2080	D(x): 0.5921	D(G(z)): 0.2702 / 0.2901
[9/30][100/391]	Loss_D: 1.0304	Loss_G: 1.0354	D(x): 0.5585	D(G(z)): 0.2074 / 0.3530
[9/30][150/391]	Loss_D: 0.9286	Loss_G: 1.8283	D(x): 0.7491	D(G(z)): 0.3415 / 0.1513
[9/30][200/391]	Loss_D: 1.1283	Loss_G: 0.7852	D(x): 0.4793	D(G(z)): 0.1625 / 0.4758
[9/30][250/391]	Loss_D: 1.3359	Loss_G: 2.5715	D(x): 0.8567	D(G(z)): 0.6175 / 0.0707
[9/30][300/391]	Loss_D: 1.2279	Loss_G: 2.0017	D(x): 0.8397	D(G(z)): 0.5747 / 0.1217
[9/30][350/391]	Loss_D: 1.0418	Loss_G: 1.1534	D(x): 0.5777	D(G(z)): 0.2693 / 0.3067
[10/30][0/391]	Loss_D: 1.1746	Loss_G: 2.1598	D(x): 0.8432	D(G(z)): 0.5378 / 0.1067
[10/30][50/391]	Loss_D: 0.9743	Loss_G: 1.1639	D(x): 0.6010	D(G(z)): 0.2189 / 0.3058
[10/30][100/391]	Loss_D: 1.1432	Loss_G: 1.4308	D(x): 0.6620	D(G(z)): 0.4412 / 0.2267
[10/30][150/391]	Loss_D: 1.4224	Loss_G: 1.9688	D(x): 0.8436	D(G(z)): 0.6483 / 0.1353
[10/30][200/391]	Loss_D: 1.0087	Loss_G: 1.4082	D(x): 0.6834	D(G(z)): 0.3546 / 0.2343
[10/30][250/391]	Loss_D: 0.9835	Loss_G: 1.9218	D(x): 0.7687	D(G(z)): 0.4054 / 0.1321
[10/30][300/391]	Loss_D: 0.8613	Loss_G: 1.4178	D(x): 0.6887	D(G(z)): 0.2115 / 0.2328
[10/30][350/391]	Loss_D: 1.0208	Loss_G: 1.3395	D(x): 0.6153	D(G(z)): 0.3015 / 0.2513
[11/30][0/391]	Loss_D: 0.9600	Loss_G: 1.2390	D(x): 0.6162	D(G(z)): 0.2258 / 0.2803
[11/30][50/391]	Loss_D: 0.9534	Loss_G: 1.6779	D(x): 0.7322	D(G(z)): 0.3476 / 0.1753
[11/30][100/391]	Loss_D: 1.0046	Loss_G: 1.3968	D(x): 0.6877	D(G(z)): 0.3665 / 0.2325
[11/30][150/391]	Loss_D: 1.0608	Loss_G: 1.1489	D(x): 0.5555	D(G(z)): 0.2526 / 0.3118
