
Files already downloaded and verified
[25/30][50/79]	Loss_D: 0.9940	Loss_G: 1.9634	D(x): 0.7778	D(G(z)): 0.4127 / 0.1306
[26/30][0/79]	Loss_D: 1.0197	Loss_G: 1.6976	D(x): 0.7569	D(G(z)): 0.4005 / 0.1789
[26/30][50/79]	Loss_D: 0.9384	Loss_G: 1.2936	D(x): 0.6137	D(G(z)): 0.1695 / 0.2774
[27/30][0/79]	Loss_D: 1.1070	Loss_G: 1.2507	D(x): 0.6126	D(G(z)): 0.3271 / 0.2889
[27/30][50/79]	Loss_D: 0.9909	Loss_G: 1.3601	D(x): 0.6287	D(G(z)): 0.2594 / 0.2580
[28/30][0/79]	Loss_D: 0.9963	Loss_G: 1.2848	D(x): 0.6378	D(G(z)): 0.2854 / 0.2765
[28/30][50/79]	Loss_D: 1.0107	Loss_G: 1.1105	D(x): 0.5729	D(G(z)): 0.2160 / 0.3238
[29/30][0/79]	Loss_D: 1.2565	Loss_G: 2.6299	D(x): 0.8044	D(G(z)): 0.5181 / 0.0642
[29/30][50/79]	Loss_D: 1.1098	Loss_G: 0.9818	D(x): 0.5136	D(G(z)): 0.2051 / 0.3752
[30/30][0/79]	Loss_D: 1.0693	Loss_G: 2.2961	D(x): 0.7918	D(G(z)): 0.4469 / 0.0932
[30/30][50/79]	Loss_D: 0.9444	Loss_G: 1.4599	D(x): 0.6849	D(G(z)): 0.2966 / 0.2191
