
Files already downloaded and verified
[25/50][50/79]	Loss_D: 1.1827	Loss_G: 1.3312	D(x): 0.7128	D(G(z)): 0.4977 / 0.2532
[26/50][0/79]	Loss_D: 1.9541	Loss_G: 2.0044	D(x): 0.8810	D(G(z)): 0.8081 / 0.1231
[26/50][50/79]	Loss_D: 1.2527	Loss_G: 0.7044	D(x): 0.4249	D(G(z)): 0.1774 / 0.5089
[27/50][0/79]	Loss_D: 1.0865	Loss_G: 1.1537	D(x): 0.5686	D(G(z)): 0.3094 / 0.3076
[27/50][50/79]	Loss_D: 1.0949	Loss_G: 1.1038	D(x): 0.5879	D(G(z)): 0.3308 / 0.3233
[28/50][0/79]	Loss_D: 1.4473	Loss_G: 1.5440	D(x): 0.7837	D(G(z)): 0.6508 / 0.2070
[28/50][50/79]	Loss_D: 1.2178	Loss_G: 0.8173	D(x): 0.4973	D(G(z)): 0.3215 / 0.4457
[29/50][0/79]	Loss_D: 1.1366	Loss_G: 2.4570	D(x): 0.7370	D(G(z)): 0.4823 / 0.0767
[29/50][50/79]	Loss_D: 1.1795	Loss_G: 0.9227	D(x): 0.5225	D(G(z)): 0.3274 / 0.3968
[30/50][0/79]	Loss_D: 1.1818	Loss_G: 1.4334	D(x): 0.7598	D(G(z)): 0.5257 / 0.2278
[30/50][50/79]	Loss_D: 1.3189	Loss_G: 0.7397	D(x): 0.3846	D(G(z)): 0.1893 / 0.4880
[31/50][0/79]	Loss_D: 1.3455	Loss_G: 0.6893	D(x): 0.3937	D(G(z)): 0.2369 / 0.5236
[31/50][50/79]	Loss_D: 1.1522	Loss_G: 0.9908	D(x): 0.5764	D(G(z)): 0.3740 / 0.3626
[32/50][0/79]	Loss_D: 1.1308	Loss_G: 1.0631	D(x): 0.5568	D(G(z)): 0.3256 / 0.3385
[32/50][50/79]	Loss_D: 1.1332	Loss_G: 1.3096	D(x): 0.6735	D(G(z)): 0.4499 / 0.2659
[33/50][0/79]	Loss_D: 1.1233	Loss_G: 1.3012	D(x): 0.6128	D(G(z)): 0.3770 / 0.2703
[33/50][50/79]	Loss_D: 1.1274	Loss_G: 1.0864	D(x): 0.5853	D(G(z)): 0.3630 / 0.3298
[34/50][0/79]	Loss_D: 1.2709	Loss_G: 1.6495	D(x): 0.7793	D(G(z)): 0.5858 / 0.1774
[34/50][50/79]	Loss_D: 1.0922	Loss_G: 1.4533	D(x): 0.7028	D(G(z)): 0.4494 / 0.2175
[35/50][0/79]	Loss_D: 1.1512	Loss_G: 1.1559	D(x): 0.5828	D(G(z)): 0.3739 / 0.3014
[35/50][50/79]	Loss_D: 1.0749	Loss_G: 0.9262	D(x): 0.5510	D(G(z)): 0.2855 / 0.3882
[36/50][0/79]	Loss_D: 1.2916	Loss_G: 1.5448	D(x): 0.7836	D(G(z)): 0.5773 / 0.2040
[36/50][50/79]	Loss_D: 1.2991	Loss_G: 2.5801	D(x): 0.8278	D(G(z)): 0.6107 / 0.0651
[37/50][0/79]	Loss_D: 1.1826	Loss_G: 0.9069	D(x): 0.5422	D(G(z)): 0.3469 / 0.4087
[37/50][50/79]	Loss_D: 1.2902	Loss_G: 0.7377	D(x): 0.4210	D(G(z)): 0.2641 / 0.4906
[38/50][0/79]	Loss_D: 1.1345	Loss_G: 1.4068	D(x): 0.6526	D(G(z)): 0.4332 / 0.2337
[38/50][50/79]	Loss_D: 1.1112	Loss_G: 1.3000	D(x): 0.7009	D(G(z)): 0.4583 / 0.2582
[39/50][0/79]	Loss_D: 1.1822	Loss_G: 1.8869	D(x): 0.7106	D(G(z)): 0.5060 / 0.1380
[39/50][50/79]	Loss_D: 1.2966	Loss_G: 0.7805	D(x): 0.4213	D(G(z)): 0.2748 / 0.4643
[40/50][0/79]	Loss_D: 1.1808	Loss_G: 0.7073	D(x): 0.4805	D(G(z)): 0.2527 / 0.5129
[40/50][50/79]	Loss_D: 1.0707	Loss_G: 1.4782	D(x): 0.6939	D(G(z)): 0.4249 / 0.2110
[41/50][0/79]	Loss_D: 1.0774	Loss_G: 1.3733	D(x): 0.6539	D(G(z)): 0.3897 / 0.2438
[41/50][50/79]	Loss_D: 1.1541	Loss_G: 1.0362	D(x): 0.4919	D(G(z)): 0.2456 / 0.3511
[42/50][0/79]	Loss_D: 1.1014	Loss_G: 1.1456	D(x): 0.5360	D(G(z)): 0.2601 / 0.3105
[42/50][50/79]	Loss_D: 1.0879	Loss_G: 1.4836	D(x): 0.7081	D(G(z)): 0.4499 / 0.2091
[43/50][0/79]	Loss_D: 1.1269	Loss_G: 1.1794	D(x): 0.6323	D(G(z)): 0.4038 / 0.2981
